x y z magnitude
0.469388 0.510204 0.510204 0.027186
0.489796 0.489796 0.489796 0.012476
0.489796 0.489796 0.510204 0.053370
0.489796 0.489796 0.530612 0.012476
0.489796 0.510204 0.489796 0.053370
0.489796 0.510204 0.510204 0.227287
0.489796 0.510204 0.530612 0.053370
0.489796 0.530612 0.489796 0.012476
0.489796 0.530612 0.510204 0.053370
0.489796 0.530612 0.530612 0.012476
0.510204 0.469388 0.510204 0.027186
0.510204 0.489796 0.489796 0.053370
0.510204 0.489796 0.510204 0.227287
0.510204 0.489796 0.530612 0.053370
0.510204 0.510204 0.469388 0.027186
0.510204 0.510204 0.489796 0.227287
0.510204 0.510204 0.510204 0.963659
0.510204 0.510204 0.530612 0.227287
0.510204 0.510204 0.551020 0.027186
0.510204 0.530612 0.489796 0.053370
0.510204 0.530612 0.510204 0.227287
0.510204 0.530612 0.530612 0.053370
0.510204 0.551020 0.510204 0.027186
0.530612 0.489796 0.489796 0.012476
0.530612 0.489796 0.510204 0.053370
0.530612 0.489796 0.530612 0.012476
0.530612 0.510204 0.489796 0.053370
0.530612 0.510204 0.510204 0.227287
0.530612 0.510204 0.530612 0.053370
0.530612 0.530612 0.489796 0.012476
0.530612 0.530612 0.510204 0.053370
0.530612 0.530612 0.530612 0.012476
0.551020 0.510204 0.510204 0.027186
