x y z magnitude
0.469388 0.489796 0.510204 0.019160
0.469388 0.510204 0.489796 0.019160
0.469388 0.510204 0.510204 0.037269
0.469388 0.510204 0.530612 0.019160
0.469388 0.530612 0.510204 0.019160
0.489796 0.469388 0.510204 0.019160
0.489796 0.489796 0.489796 0.034652
0.489796 0.489796 0.510204 0.067387
0.489796 0.489796 0.530612 0.034652
0.489796 0.510204 0.469388 0.019160
0.489796 0.510204 0.489796 0.067387
0.489796 0.510204 0.510204 0.130908
0.489796 0.510204 0.530612 0.067387
0.489796 0.510204 0.551020 0.019160
0.489796 0.530612 0.489796 0.034652
0.489796 0.530612 0.510204 0.067387
0.489796 0.530612 0.530612 0.034652
0.489796 0.551020 0.510204 0.019160
0.510204 0.469388 0.489796 0.019160
0.510204 0.469388 0.510204 0.037269
0.510204 0.469388 0.530612 0.019160
0.510204 0.489796 0.469388 0.019160
0.510204 0.489796 0.489796 0.067387
0.510204 0.489796 0.510204 0.130908
0.510204 0.489796 0.530612 0.067387
0.510204 0.489796 0.551020 0.019160
0.510204 0.510204 0.469388 0.037269
0.510204 0.510204 0.489796 0.130908
0.510204 0.510204 0.510204 0.254041
0.510204 0.510204 0.530612 0.130908
0.510204 0.510204 0.551020 0.037269
0.510204 0.530612 0.469388 0.019160
0.510204 0.530612 0.489796 0.067387
0.510204 0.530612 0.510204 0.130908
0.510204 0.530612 0.530612 0.067387
0.510204 0.530612 0.551020 0.019160
0.510204 0.551020 0.489796 0.019160
0.510204 0.551020 0.510204 0.037269
0.510204 0.551020 0.530612 0.019160
0.530612 0.469388 0.510204 0.019160
0.530612 0.489796 0.489796 0.034652
0.530612 0.489796 0.510204 0.067387
0.530612 0.489796 0.530612 0.034652
0.530612 0.510204 0.469388 0.019160
0.530612 0.510204 0.489796 0.067387
0.530612 0.510204 0.510204 0.130908
0.530612 0.510204 0.530612 0.067387
0.530612 0.510204 0.551020 0.019160
0.530612 0.530612 0.489796 0.034652
0.530612 0.530612 0.510204 0.067387
0.530612 0.530612 0.530612 0.034652
0.530612 0.551020 0.510204 0.019160
0.551020 0.489796 0.510204 0.019160
0.551020 0.510204 0.489796 0.019160
0.551020 0.510204 0.510204 0.037269
0.551020 0.510204 0.530612 0.019160
0.551020 0.530612 0.510204 0.019160
