x y z magnitude
0.469388 0.489796 0.510204 0.011836
0.469388 0.510204 0.489796 0.011836
0.469388 0.510204 0.510204 0.034873
0.469388 0.510204 0.530612 0.011836
0.469388 0.530612 0.510204 0.011836
0.489796 0.469388 0.510204 0.011836
0.489796 0.489796 0.489796 0.022739
0.489796 0.489796 0.510204 0.066980
0.489796 0.489796 0.530612 0.022739
0.489796 0.510204 0.469388 0.011836
0.489796 0.510204 0.489796 0.066980
0.489796 0.510204 0.510204 0.196784
0.489796 0.510204 0.530612 0.066980
0.489796 0.510204 0.551020 0.011836
0.489796 0.530612 0.489796 0.022739
0.489796 0.530612 0.510204 0.066980
0.489796 0.530612 0.530612 0.022739
0.489796 0.551020 0.510204 0.011836
0.510204 0.469388 0.489796 0.011836
0.510204 0.469388 0.510204 0.034873
0.510204 0.469388 0.530612 0.011836
0.510204 0.489796 0.469388 0.011836
0.510204 0.489796 0.489796 0.066980
0.510204 0.489796 0.510204 0.196784
0.510204 0.489796 0.530612 0.066980
0.510204 0.489796 0.551020 0.011836
0.510204 0.510204 0.469388 0.034873
0.510204 0.510204 0.489796 0.196784
0.510204 0.510204 0.510204 0.576653
0.510204 0.510204 0.530612 0.196784
0.510204 0.510204 0.551020 0.034873
0.510204 0.530612 0.469388 0.011836
0.510204 0.530612 0.489796 0.066980
0.510204 0.530612 0.510204 0.196784
0.510204 0.530612 0.530612 0.066980
0.510204 0.530612 0.551020 0.011836
0.510204 0.551020 0.489796 0.011836
0.510204 0.551020 0.510204 0.034873
0.510204 0.551020 0.530612 0.011836
0.530612 0.469388 0.510204 0.011836
0.530612 0.489796 0.489796 0.022739
0.530612 0.489796 0.510204 0.066980
0.530612 0.489796 0.530612 0.022739
0.530612 0.510204 0.469388 0.011836
0.530612 0.510204 0.489796 0.066980
0.530612 0.510204 0.510204 0.196784
0.530612 0.510204 0.530612 0.066980
0.530612 0.510204 0.551020 0.011836
0.530612 0.530612 0.489796 0.022739
0.530612 0.530612 0.510204 0.066980
0.530612 0.530612 0.530612 0.022739
0.530612 0.551020 0.510204 0.011836
0.551020 0.489796 0.510204 0.011836
0.551020 0.510204 0.489796 0.011836
0.551020 0.510204 0.510204 0.034873
0.551020 0.510204 0.530612 0.011836
0.551020 0.530612 0.510204 0.011836
