x y z magnitude
0.469388 0.489796 0.489796 0.014762
0.469388 0.489796 0.510204 0.021547
0.469388 0.489796 0.530612 0.014762
0.469388 0.510204 0.489796 0.021547
0.469388 0.510204 0.510204 0.031441
0.469388 0.510204 0.530612 0.021547
0.469388 0.530612 0.489796 0.014762
0.469388 0.530612 0.510204 0.021547
0.469388 0.530612 0.530612 0.014762
0.489796 0.469388 0.489796 0.014762
0.489796 0.469388 0.510204 0.021547
0.489796 0.469388 0.530612 0.014762
0.489796 0.489796 0.469388 0.014762
0.489796 0.489796 0.489796 0.035087
0.489796 0.489796 0.510204 0.051190
0.489796 0.489796 0.530612 0.035087
0.489796 0.489796 0.551020 0.014762
0.489796 0.510204 0.469388 0.021547
0.489796 0.510204 0.489796 0.051190
0.489796 0.510204 0.510204 0.074659
0.489796 0.510204 0.530612 0.051190
0.489796 0.510204 0.551020 0.021547
0.489796 0.530612 0.469388 0.014762
0.489796 0.530612 0.489796 0.035087
0.489796 0.530612 0.510204 0.051190
0.489796 0.530612 0.530612 0.035087
0.489796 0.530612 0.551020 0.014762
0.489796 0.551020 0.489796 0.014762
0.489796 0.551020 0.510204 0.021547
0.489796 0.551020 0.530612 0.014762
0.510204 0.469388 0.489796 0.021547
0.510204 0.469388 0.510204 0.031441
0.510204 0.469388 0.530612 0.021547
0.510204 0.489796 0.469388 0.021547
0.510204 0.489796 0.489796 0.051190
0.510204 0.489796 0.510204 0.074659
0.510204 0.489796 0.530612 0.051190
0.510204 0.489796 0.551020 0.021547
0.510204 0.510204 0.469388 0.031441
0.510204 0.510204 0.489796 0.074659
0.510204 0.510204 0.510204 0.108856
0.510204 0.510204 0.530612 0.074659
0.510204 0.510204 0.551020 0.031441
0.510204 0.530612 0.469388 0.021547
0.510204 0.530612 0.489796 0.051190
0.510204 0.530612 0.510204 0.074659
0.510204 0.530612 0.530612 0.051190
0.510204 0.530612 0.551020 0.021547
0.510204 0.551020 0.489796 0.021547
0.510204 0.551020 0.510204 0.031441
0.510204 0.551020 0.530612 0.021547
0.530612 0.469388 0.489796 0.014762
0.530612 0.469388 0.510204 0.021547
0.530612 0.469388 0.530612 0.014762
0.530612 0.489796 0.469388 0.014762
0.530612 0.489796 0.489796 0.035087
0.530612 0.489796 0.510204 0.051190
0.530612 0.489796 0.530612 0.035087
0.530612 0.489796 0.551020 0.014762
0.530612 0.510204 0.469388 0.021547
0.530612 0.510204 0.489796 0.051190
0.530612 0.510204 0.510204 0.074659
0.530612 0.510204 0.530612 0.051190
0.530612 0.510204 0.551020 0.021547
0.530612 0.530612 0.469388 0.014762
0.530612 0.530612 0.489796 0.035087
0.530612 0.530612 0.510204 0.051190
0.530612 0.530612 0.530612 0.035087
0.530612 0.530612 0.551020 0.014762
0.530612 0.551020 0.489796 0.014762
0.530612 0.551020 0.510204 0.021547
0.530612 0.551020 0.530612 0.014762
0.551020 0.489796 0.489796 0.014762
0.551020 0.489796 0.510204 0.021547
0.551020 0.489796 0.530612 0.014762
0.551020 0.510204 0.489796 0.021547
0.551020 0.510204 0.510204 0.031441
0.551020 0.510204 0.530612 0.021547
0.551020 0.530612 0.489796 0.014762
0.551020 0.530612 0.510204 0.021547
0.551020 0.530612 0.530612 0.014762
