x y z magnitude
0.469388 0.489796 0.489796 0.015316
0.469388 0.489796 0.510204 0.021177
0.469388 0.489796 0.530612 0.015316
0.469388 0.510204 0.489796 0.021177
0.469388 0.510204 0.510204 0.029275
0.469388 0.510204 0.530612 0.021177
0.469388 0.530612 0.489796 0.015316
0.469388 0.530612 0.510204 0.021177
0.469388 0.530612 0.530612 0.015316
0.489796 0.469388 0.489796 0.015316
0.489796 0.469388 0.510204 0.021177
0.489796 0.469388 0.530612 0.015316
0.489796 0.489796 0.469388 0.015316
0.489796 0.489796 0.489796 0.033350
0.489796 0.489796 0.510204 0.046097
0.489796 0.489796 0.530612 0.033350
0.489796 0.489796 0.551020 0.015316
0.489796 0.510204 0.469388 0.021177
0.489796 0.510204 0.489796 0.046097
0.489796 0.510204 0.510204 0.063703
0.489796 0.510204 0.530612 0.046097
0.489796 0.510204 0.551020 0.021177
0.489796 0.530612 0.469388 0.015316
0.489796 0.530612 0.489796 0.033350
0.489796 0.530612 0.510204 0.046097
0.489796 0.530612 0.530612 0.033350
0.489796 0.530612 0.551020 0.015316
0.489796 0.551020 0.489796 0.015316
0.489796 0.551020 0.510204 0.021177
0.489796 0.551020 0.530612 0.015316
0.510204 0.469388 0.489796 0.021177
0.510204 0.469388 0.510204 0.029275
0.510204 0.469388 0.530612 0.021177
0.510204 0.489796 0.469388 0.021177
0.510204 0.489796 0.489796 0.046097
0.510204 0.489796 0.510204 0.063703
0.510204 0.489796 0.530612 0.046097
0.510204 0.489796 0.551020 0.021177
0.510204 0.510204 0.469388 0.029275
0.510204 0.510204 0.489796 0.063703
0.510204 0.510204 0.510204 0.088014
0.510204 0.510204 0.530612 0.063703
0.510204 0.510204 0.551020 0.029275
0.510204 0.530612 0.469388 0.021177
0.510204 0.530612 0.489796 0.046097
0.510204 0.530612 0.510204 0.063703
0.510204 0.530612 0.530612 0.046097
0.510204 0.530612 0.551020 0.021177
0.510204 0.551020 0.489796 0.021177
0.510204 0.551020 0.510204 0.029275
0.510204 0.551020 0.530612 0.021177
0.530612 0.469388 0.489796 0.015316
0.530612 0.469388 0.510204 0.021177
0.530612 0.469388 0.530612 0.015316
0.530612 0.489796 0.469388 0.015316
0.530612 0.489796 0.489796 0.033350
0.530612 0.489796 0.510204 0.046097
0.530612 0.489796 0.530612 0.033350
0.530612 0.489796 0.551020 0.015316
0.530612 0.510204 0.469388 0.021177
0.530612 0.510204 0.489796 0.046097
0.530612 0.510204 0.510204 0.063703
0.530612 0.510204 0.530612 0.046097
0.530612 0.510204 0.551020 0.021177
0.530612 0.530612 0.469388 0.015316
0.530612 0.530612 0.489796 0.033350
0.530612 0.530612 0.510204 0.046097
0.530612 0.530612 0.530612 0.033350
0.530612 0.530612 0.551020 0.015316
0.530612 0.551020 0.489796 0.015316
0.530612 0.551020 0.510204 0.021177
0.530612 0.551020 0.530612 0.015316
0.551020 0.489796 0.489796 0.015316
0.551020 0.489796 0.510204 0.021177
0.551020 0.489796 0.530612 0.015316
0.551020 0.510204 0.489796 0.021177
0.551020 0.510204 0.510204 0.029275
0.551020 0.510204 0.530612 0.021177
0.551020 0.530612 0.489796 0.015316
0.551020 0.530612 0.510204 0.021177
0.551020 0.530612 0.530612 0.015316
