x y z magnitude
0.469388 0.510204 0.510204 0.012738
0.489796 0.489796 0.510204 0.025358
0.489796 0.510204 0.489796 0.025358
0.489796 0.510204 0.510204 0.211338
0.489796 0.510204 0.530612 0.025358
0.489796 0.530612 0.510204 0.025358
0.510204 0.469388 0.510204 0.012738
0.510204 0.489796 0.489796 0.025358
0.510204 0.489796 0.510204 0.211338
0.510204 0.489796 0.530612 0.025358
0.510204 0.510204 0.469388 0.012738
0.510204 0.510204 0.489796 0.211338
0.510204 0.510204 0.510204 1.744430
0.510204 0.510204 0.530612 0.211338
0.510204 0.510204 0.551020 0.012738
0.510204 0.530612 0.489796 0.025358
0.510204 0.530612 0.510204 0.211338
0.510204 0.530612 0.530612 0.025358
0.510204 0.551020 0.510204 0.012738
0.530612 0.489796 0.510204 0.025358
0.530612 0.510204 0.489796 0.025358
0.530612 0.510204 0.510204 0.211338
0.530612 0.510204 0.530612 0.025358
0.530612 0.530612 0.510204 0.025358
0.551020 0.510204 0.510204 0.012738
