x y z magnitude
0.469388 0.489796 0.489796 0.013729
0.469388 0.489796 0.510204 0.021500
0.469388 0.489796 0.530612 0.013729
0.469388 0.510204 0.489796 0.021500
0.469388 0.510204 0.510204 0.033655
0.469388 0.510204 0.530612 0.021500
0.469388 0.530612 0.489796 0.013729
0.469388 0.530612 0.510204 0.021500
0.469388 0.530612 0.530612 0.013729
0.489796 0.469388 0.489796 0.013729
0.489796 0.469388 0.510204 0.021500
0.489796 0.469388 0.530612 0.013729
0.489796 0.489796 0.469388 0.013729
0.489796 0.489796 0.489796 0.036252
0.489796 0.489796 0.510204 0.056737
0.489796 0.489796 0.530612 0.036252
0.489796 0.489796 0.551020 0.013729
0.489796 0.510204 0.469388 0.021500
0.489796 0.510204 0.489796 0.056737
0.489796 0.510204 0.510204 0.088756
0.489796 0.510204 0.530612 0.056737
0.489796 0.510204 0.551020 0.021500
0.489796 0.530612 0.469388 0.013729
0.489796 0.530612 0.489796 0.036252
0.489796 0.530612 0.510204 0.056737
0.489796 0.530612 0.530612 0.036252
0.489796 0.530612 0.551020 0.013729
0.489796 0.551020 0.489796 0.013729
0.489796 0.551020 0.510204 0.021500
0.489796 0.551020 0.530612 0.013729
0.510204 0.469388 0.489796 0.021500
0.510204 0.469388 0.510204 0.033655
0.510204 0.469388 0.530612 0.021500
0.510204 0.489796 0.469388 0.021500
0.510204 0.489796 0.489796 0.056737
0.510204 0.489796 0.510204 0.088756
0.510204 0.489796 0.530612 0.056737
0.510204 0.489796 0.551020 0.021500
0.510204 0.510204 0.469388 0.033655
0.510204 0.510204 0.489796 0.088756
0.510204 0.510204 0.510204 0.138782
0.510204 0.510204 0.530612 0.088756
0.510204 0.510204 0.551020 0.033655
0.510204 0.530612 0.469388 0.021500
0.510204 0.530612 0.489796 0.056737
0.510204 0.530612 0.510204 0.088756
0.510204 0.530612 0.530612 0.056737
0.510204 0.530612 0.551020 0.021500
0.510204 0.551020 0.489796 0.021500
0.510204 0.551020 0.510204 0.033655
0.510204 0.551020 0.530612 0.021500
0.530612 0.469388 0.489796 0.013729
0.530612 0.469388 0.510204 0.021500
0.530612 0.469388 0.530612 0.013729
0.530612 0.489796 0.469388 0.013729
0.530612 0.489796 0.489796 0.036252
0.530612 0.489796 0.510204 0.056737
0.530612 0.489796 0.530612 0.036252
0.530612 0.489796 0.551020 0.013729
0.530612 0.510204 0.469388 0.021500
0.530612 0.510204 0.489796 0.056737
0.530612 0.510204 0.510204 0.088756
0.530612 0.510204 0.530612 0.056737
0.530612 0.510204 0.551020 0.021500
0.530612 0.530612 0.469388 0.013729
0.530612 0.530612 0.489796 0.036252
0.530612 0.530612 0.510204 0.056737
0.530612 0.530612 0.530612 0.036252
0.530612 0.530612 0.551020 0.013729
0.530612 0.551020 0.489796 0.013729
0.530612 0.551020 0.510204 0.021500
0.530612 0.551020 0.530612 0.013729
0.551020 0.489796 0.489796 0.013729
0.551020 0.489796 0.510204 0.021500
0.551020 0.489796 0.530612 0.013729
0.551020 0.510204 0.489796 0.021500
0.551020 0.510204 0.510204 0.033655
0.551020 0.510204 0.530612 0.021500
0.551020 0.530612 0.489796 0.013729
0.551020 0.530612 0.510204 0.021500
0.551020 0.530612 0.530612 0.013729
