x y z magnitude
0.469388 0.469388 0.510204 0.010158
0.469388 0.489796 0.489796 0.015505
0.469388 0.489796 0.510204 0.020552
0.469388 0.489796 0.530612 0.015505
0.469388 0.510204 0.469388 0.010158
0.469388 0.510204 0.489796 0.020552
0.469388 0.510204 0.510204 0.027237
0.469388 0.510204 0.530612 0.020552
0.469388 0.510204 0.551020 0.010158
0.469388 0.530612 0.489796 0.015505
0.469388 0.530612 0.510204 0.020552
0.469388 0.530612 0.530612 0.015505
0.469388 0.551020 0.510204 0.010158
0.489796 0.469388 0.489796 0.015505
0.489796 0.469388 0.510204 0.020552
0.489796 0.469388 0.530612 0.015505
0.489796 0.489796 0.469388 0.015505
0.489796 0.489796 0.489796 0.031364
0.489796 0.489796 0.510204 0.041562
0.489796 0.489796 0.530612 0.031364
0.489796 0.489796 0.551020 0.015505
0.489796 0.510204 0.469388 0.020552
0.489796 0.510204 0.489796 0.041562
0.489796 0.510204 0.510204 0.055067
0.489796 0.510204 0.530612 0.041562
0.489796 0.510204 0.551020 0.020552
0.489796 0.530612 0.469388 0.015505
0.489796 0.530612 0.489796 0.031364
0.489796 0.530612 0.510204 0.041562
0.489796 0.530612 0.530612 0.031364
0.489796 0.530612 0.551020 0.015505
0.489796 0.551020 0.489796 0.015505
0.489796 0.551020 0.510204 0.020552
0.489796 0.551020 0.530612 0.015505
0.510204 0.469388 0.469388 0.010158
0.510204 0.469388 0.489796 0.020552
0.510204 0.469388 0.510204 0.027237
0.510204 0.469388 0.530612 0.020552
0.510204 0.469388 0.551020 0.010158
0.510204 0.489796 0.469388 0.020552
0.510204 0.489796 0.489796 0.041562
0.510204 0.489796 0.510204 0.055067
0.510204 0.489796 0.530612 0.041562
0.510204 0.489796 0.551020 0.020552
0.510204 0.510204 0.469388 0.027237
0.510204 0.510204 0.489796 0.055067
0.510204 0.510204 0.510204 0.072952
0.510204 0.510204 0.530612 0.055067
0.510204 0.510204 0.551020 0.027237
0.510204 0.530612 0.469388 0.020552
0.510204 0.530612 0.489796 0.041562
0.510204 0.530612 0.510204 0.055067
0.510204 0.530612 0.530612 0.041562
0.510204 0.530612 0.551020 0.020552
0.510204 0.551020 0.469388 0.010158
0.510204 0.551020 0.489796 0.020552
0.510204 0.551020 0.510204 0.027237
0.510204 0.551020 0.530612 0.020552
0.510204 0.551020 0.551020 0.010158
0.530612 0.469388 0.489796 0.015505
0.530612 0.469388 0.510204 0.020552
0.530612 0.469388 0.530612 0.015505
0.530612 0.489796 0.469388 0.015505
0.530612 0.489796 0.489796 0.031364
0.530612 0.489796 0.510204 0.041562
0.530612 0.489796 0.530612 0.031364
0.530612 0.489796 0.551020 0.015505
0.530612 0.510204 0.469388 0.020552
0.530612 0.510204 0.489796 0.041562
0.530612 0.510204 0.510204 0.055067
0.530612 0.510204 0.530612 0.041562
0.530612 0.510204 0.551020 0.020552
0.530612 0.530612 0.469388 0.015505
0.530612 0.530612 0.489796 0.031364
0.530612 0.530612 0.510204 0.041562
0.530612 0.530612 0.530612 0.031364
0.530612 0.530612 0.551020 0.015505
0.530612 0.551020 0.489796 0.015505
0.530612 0.551020 0.510204 0.020552
0.530612 0.551020 0.530612 0.015505
0.551020 0.469388 0.510204 0.010158
0.551020 0.489796 0.489796 0.015505
0.551020 0.489796 0.510204 0.020552
0.551020 0.489796 0.530612 0.015505
0.551020 0.510204 0.469388 0.010158
0.551020 0.510204 0.489796 0.020552
0.551020 0.510204 0.510204 0.027237
0.551020 0.510204 0.530612 0.020552
0.551020 0.510204 0.551020 0.010158
0.551020 0.530612 0.489796 0.015505
0.551020 0.530612 0.510204 0.020552
0.551020 0.530612 0.530612 0.015505
0.551020 0.551020 0.510204 0.010158
