x y z magnitude
0.469388 0.489796 0.510204 0.016235
0.469388 0.510204 0.489796 0.016235
0.469388 0.510204 0.510204 0.037474
0.469388 0.510204 0.530612 0.016235
0.469388 0.530612 0.510204 0.016235
0.489796 0.469388 0.510204 0.016235
0.489796 0.489796 0.489796 0.030326
0.489796 0.489796 0.510204 0.069982
0.489796 0.489796 0.530612 0.030326
0.489796 0.510204 0.469388 0.016235
0.489796 0.510204 0.489796 0.069982
0.489796 0.510204 0.510204 0.161235
0.489796 0.510204 0.530612 0.069982
0.489796 0.510204 0.551020 0.016235
0.489796 0.530612 0.489796 0.030326
0.489796 0.530612 0.510204 0.069982
0.489796 0.530612 0.530612 0.030326
0.489796 0.551020 0.510204 0.016235
0.510204 0.469388 0.489796 0.016235
0.510204 0.469388 0.510204 0.037474
0.510204 0.469388 0.530612 0.016235
0.510204 0.489796 0.469388 0.016235
0.510204 0.489796 0.489796 0.069982
0.510204 0.489796 0.510204 0.161235
0.510204 0.489796 0.530612 0.069982
0.510204 0.489796 0.551020 0.016235
0.510204 0.510204 0.469388 0.037474
0.510204 0.510204 0.489796 0.161235
0.510204 0.510204 0.510204 0.370875
0.510204 0.510204 0.530612 0.161235
0.510204 0.510204 0.551020 0.037474
0.510204 0.530612 0.469388 0.016235
0.510204 0.530612 0.489796 0.069982
0.510204 0.530612 0.510204 0.161235
0.510204 0.530612 0.530612 0.069982
0.510204 0.530612 0.551020 0.016235
0.510204 0.551020 0.489796 0.016235
0.510204 0.551020 0.510204 0.037474
0.510204 0.551020 0.530612 0.016235
0.530612 0.469388 0.510204 0.016235
0.530612 0.489796 0.489796 0.030326
0.530612 0.489796 0.510204 0.069982
0.530612 0.489796 0.530612 0.030326
0.530612 0.510204 0.469388 0.016235
0.530612 0.510204 0.489796 0.069982
0.530612 0.510204 0.510204 0.161235
0.530612 0.510204 0.530612 0.069982
0.530612 0.510204 0.551020 0.016235
0.530612 0.530612 0.489796 0.030326
0.530612 0.530612 0.510204 0.069982
0.530612 0.530612 0.530612 0.030326
0.530612 0.551020 0.510204 0.016235
0.551020 0.489796 0.510204 0.016235
0.551020 0.510204 0.489796 0.016235
0.551020 0.510204 0.510204 0.037474
0.551020 0.510204 0.530612 0.016235
0.551020 0.530612 0.510204 0.016235
